Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BTN0,BUTTON8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,169.1,-102.725,0.0,top
BTN1,BUTTON1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,162.1,-95.775,0.0,top
BTN2,BUTTON2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,155.6,-102.725,0.0,top
BTN3,BUTTON3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,148.6,-95.775,0.0,top
BTN4,BUTTON4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,142.0,-102.725,0.0,top
BTN5,BUTTON5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,135.1,-95.775,0.0,top
BTN6,BUTTON6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,128.35,-102.725,0.0,top
BTN7,BUTTON7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,121.6,-95.775,0.0,top
BTN8,BUTTON8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,114.75,-102.725,0.0,top
BTN9,BUTTON10,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,163.55,-55.3,0.0,top
BTN10,BUTTON9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,120.35,-55.3,0.0,top
C1,100nF,C_0402_1005Metric,130.8,-76.43,90.0,top
C2,15pF,C_0402_1005Metric,150.43,-80.48,0.0,top
C3,15pF,C_0402_1005Metric,148.9,-74.99,0.0,top
C4,1uF,C_0402_1005Metric,132.739411,-73.539411,135.0,top
C5,100nF,C_0402_1005Metric,132.17,-77.925,180.0,top
C6,100nF,C_0402_1005Metric,146.18,-75.5,0.0,top
C7,10uF,C_0402_1005Metric,141.02,-65.35,0.0,top
C8,1uF,C_0402_1005Metric,133.360589,-72.710589,135.0,top
C9,100nF,C_0402_1005Metric,135.34,-72.7,180.0,top
C10,100nF,C_0402_1005Metric,146.18,-76.47,0.0,top
C11,100nF,C_0402_1005Metric,140.489411,-71.660589,45.0,top
C12,100nF,C_0402_1005Metric,138.910589,-84.389411,-135.0,top
C13,100nF,C_0402_1005Metric,132.92,-76.9,180.0,top
C14,100nF,C_0402_1005Metric,135.34,-71.725,180.0,top
C15,100nF,C_0402_1005Metric,134.47,-82.05,180.0,top
C16,1uF,C_0402_1005Metric,141.02,-64.35,180.0,top
C17,1uF,C_0402_1005Metric,141.02,-66.35,180.0,top
C18,330nF,C_0402_1005Metric,161.18,-69.015,0.0,top
C19,100nF,C_0402_1005Metric,161.165,-60.99,0.0,top
F1,500mA,Fuse_1206_3216Metric,142.0,-61.9,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,134.23,-58.01,180.0,top
J3,QE1A,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,167.575,-71.225,180.0,top
J4,QE1B,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,167.575,-64.425,180.0,top
J14,QE2B,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,116.9,-71.5,180.0,top
J15,RGB2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,105.9425,-70.95,0.0,top
J16,RGB1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,105.8675,-79.937,0.0,top
J17,QE1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,177.1,-56.3,180.0,top
J18,QE2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,106.85,-56.35,180.0,top
J19,USB Header,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,147.6,-55.25,0.0,top
J20,PS2 Header,RJ45_OST_PJ012-8P8CX_Vertical,172.9425,-82.46,90.0,top
J21,QE2A,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,116.9,-64.7,180.0,top
Q1,BSS138,SOT-23,129.1175,-88.8625,90.0,top
Q2,BSS138,SOT-23,143.1175,-88.2625,90.0,top
Q3,BSS138,SOT-23,113.5175,-88.9625,90.0,top
Q4,BSS138,SOT-23,156.0175,-88.9625,90.0,top
Q5,BSS138,SOT-23,170.8175,-93.5625,90.0,top
Q6,BSS138,SOT-23,148.2675,-63.1,90.0,top
Q7,BSS138,SOT-23,124.43,-61.25,180.0,top
Q8,BSS138,SOT-23,160.8175,-90.2625,90.0,top
Q9,BSS138,SOT-23,147.3175,-88.5625,90.0,top
Q10,BSS138,SOT-23,133.7675,-89.2375,90.0,top
Q11,BSS138,SOT-23,120.3675,-90.3625,90.0,top
R1,1k,R_0402_1005Metric,123.4,-75.16,180.0,top
